,Brand ,Model ,Price 
494,PRS,Santana Gold Burst 10 Top 2017,3.599 €
495,Friedman,CALI-ARVHH+,2.998 €
496,Solar Guitars,S1.6BLB,1.199 €
497,PRS,S2 Vela Satin SH AW,1.499 €
498,Suhr,Classic S ST HSS RW 3TB,2.800 €
499,Fender,Noventa Strat MN DPB,799 €
500,Fender,56 Strat SGM Heavy Relic,4.099 €
501,Legator,N7XFR-RBY,2.059 €
502,Fender,AM Pro II Strat LH MN MYST SFG,1.744 €
503,BC Rich,Shredzilla Pro Archtop FR TB,1.649 €
504,Fender,SQ Contemp Strat HH FR MNGMM,359 €
505,Suhr,Modern Plus HSH PF TBD,3.449 €
506,Jackson,JS32 Dinky AH Neon Orange,289 €
507,ESP,LTD H3-1000FR See Thru BK SB,1.025 €
508,PRS,John Mayer Silver Sky MN Tungs,2.698 €
